study_id,source_reference,extraction_type,original_value,calculation_performed,units,verification_status,reviewer_notes
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.10835,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.05499,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.07491,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.039068,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.03859,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.214548,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.157203,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.377974,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.332599,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.635669,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.533758,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.529936,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
