doi,title,year,authors,journal,species,elements,discovery_source,target_plausibility,plausibility_reason,candidate_confidence,temporal_status,overlap_status,eligibility_status,manual_verification_required,notes
10.1016/j.chemosphere.2024.142199,"Industrial hemp (Cannabis sativa L.) can utilize and remediate soil strongly contaminated with Cu, As, Cd, and Pb by phytoattenuation",2024,Unconfirmed - verify (PMID 38692366),Chemosphere,Hemp,"Cu, As, Cd, Pb",web search: hemp Cannabis sativa heavy metal bioconcentration factor field soil 2024 2025,plausible,"Abstract explicitly states 'strongly contaminated natural soils' -- naturally contaminated, soil-based, no amendment/spike/hydroponic confound",high,post-2023,no_exact_doi_match_in_primary_dataset,requires_manual_verification,yes,DOI confirmed via explicit doi string in PubMed record. BCF definition/units not yet verified from full text.
10.1007/s11356-023-30474-z,Industrial hemp (Cannabis sativa L.) - a valuable alternative crop for growing in agricultural soils contaminated with heavy metals,2023,"Flajsman, Kosmelj, Grcman, Kocjan Acko, Zupan",Environmental Science and Pollution Research,Hemp,"Pb, Zn, Cd",web search: hemp Cannabis sativa heavy metal bioconcentration factor field soil 2024 2025,plausible,"Field study (not pot) at 3 differently polluted real sites in Celje valley, Slovenia; explicitly contrasts with prior greenhouse-only literature",high,"post-2023 (published 2023-10-26, confirmed after March 2023 cutoff)",no_exact_doi_match_in_primary_dataset,requires_manual_verification,yes,Full author list and exact publication date (2023-10-26) confirmed via PMC record. Genuinely temporal-independent given the confirmed date is after the Ha et al. March 15 2023 cutoff.
unconfirmed_verify_soilsystems_thurston2024,"Evaluation of Industrial Hemp Cultivar and Biochar Rate to Remediate Heavy-Metal-Contaminated Soil from the Tar Creek Superfund Site, USA",2024,"Thurston, Brye, Miller, Moore","Soil Systems (MDPI), likely 10.3390/soilsystems8040114 (pattern-based, unconfirmed)",Hemp,"Cd, Pb, Zn",web search: Thurston 2024 hemp cultivar Tar Creek Superfund heavy metal uptake biochar,plausible,Abstract explicitly states 'naturally contaminated soils from the Tar Creek superfund site'; the 0% biochar-rate treatment arm is an unamended control directly comparable to TARGET; paper explicitly reports BCF by soil-cultivar combination per available figure captions,high,post-2023,"no_exact_doi_match_in_primary_dataset (exact DOI unconfirmed, verify directly)",requires_manual_verification,yes,"IMPORTANT: only the 0% biochar-rate rows are TARGET-comparable; the 2/5/10% biochar rows are an amendment manipulation and must be excluded or treated as a separate supplementary condition, mirroring the primary dataset's own amended-soil exclusion. DOI is a reliable MDPI pattern match but was not independently fetched; confirm from the article page before use."
unconfirmed_verify_researchgate_thurston_selenium,Selenium Metabolism in Hemp (Cannabis sativa L.) - Potential for Phytoremediation and Biofortification,unconfirmed - verify,Thurston et al.,Unconfirmed,Hemp,Se,web search: Thurston 2024 hemp cultivar Tar Creek Superfund heavy metal uptake biochar,plausible_but_likely_non_independent_of_other_thurston_row,"Also uses Tar Creek Superfund site soil per abstract (naturally contaminated); valuable because Se has zero TARGET-domain coverage in the primary dataset, but this appears to be the SAME research campaign/soil batches as the Thurston et al. 2024 Soil Systems paper above (same PI, same site, overlapping description of contamination levels/cultivars/biochar rates)",medium,unconfirmed - verify,no_exact_doi_match_in_primary_dataset (doi not located),requires_manual_verification,yes,Do NOT count this and the Thurston et al. 2024 Soil Systems row above as two independent studies without verifying they used non-overlapping plant/soil samples; if they share experimental units they should count as one study for the >=15-independent-study target.
unconfirmed_verify_sciencedirect_fiber,"Industrial hemp (Cannabis sativa L.) in a phytoattenuation strategy: Remediation potential of a Cd, Pb and Zn contaminated soil and valorization potential of the fibers for textile production",unconfirmed,Unconfirmed,Journal not fully confirmed - ScienceDirect listing,Hemp,"Cd, Pb, Zn",web search: hemp Cannabis sativa heavy metal bioconcentration factor field soil 2024 2025,plausible_pending_verification,Reports BCF explicitly and states hemp is not a hyperaccumulator per its own BCF definition; contamination source (natural vs spiked) not confirmed from available excerpt,medium,unconfirmed,no_exact_doi_match_in_primary_dataset (doi not located),requires_manual_verification,yes,Contamination history (spiked vs naturally contaminated) must be confirmed from full text before counting toward the plausible buffer; currently included provisionally.
unconfirmed_verify_from_mdpi_sludge,Hemp-Based Phytoaccumulation of Heavy Metals from Municipal Sewage Sludge and Phosphogypsum Under Field Conditions,2020,Unconfirmed,Agriculture (MDPI),Hemp,"Mn, Ni, Fe (and others per abstract)",web search: hemp Cannabis sativa heavy metal bioconcentration factor field soil 2024 2025 (earlier pass),implausible_excluded,"Soil is amended with sewage sludge and phosphogypsum -- amendment fundamentally changes the exposure system, analogous to the primary dataset's excluded 'amended' category",low,pre-2023,no_exact_doi_match_in_primary_dataset,ineligible_pending_confirmation,no (excluded on design grounds; only revisit if reframed as a supplementary amended-soil check),Kept for auditability per instruction; do not count toward the plausible buffer.
10.1016/j.envadv.2021.100144,A spectroscopic study to assess heavy metals absorption by a combined hemp/spirulina system from contaminated soil,2022,Musio et al.,Environmental Advances,Hemp,not specified in excerpt,web search: hemp Cannabis sativa heavy metal bioconcentration factor field soil 2024 2025 (earlier pass),implausible_excluded,Nonstandard co-culture (hemp/spirulina) system is a treatment manipulation not comparable to the locked TARGET definition,low,pre-2023,no_exact_doi_match_in_primary_dataset,ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer.
10.1002/rem.70059,Current Knowledge on Phytoremediation Potential of Industrial Hemp (Cannabis sativa L.) for PFAS and Heavy Metal Contaminated Soils,2026,Ansari et al.,Remediation Journal,Hemp,review scope,web search: hemp Cannabis sativa heavy metal bioconcentration factor field soil 2024 2025 (earlier pass),review_not_primary,"Review article, not primary data",n/a,post-2023,not_applicable_review_article,ineligible_as_primary_source,no,Never extract numeric values from this review. Bibliography lead only.
10.3390/agriculture16070748,Research on the Potential of Castor Plants (Ricinus communis L.) to Remediate Soil Contaminated by Multiple Heavy Metals in Mining Areas,2026,Unconfirmed - verify,Agriculture (MDPI),Castor bean,"Cd, Pb, Cu, Zn",web search: castor bean Ricinus communis heavy metal phytoremediation bioconcentration factor 2023 2024 2025 field,plausible,"Field/mining-area naturally contaminated soil, multiple varieties, explicit BCF/TF calculation per abstract",high,post-2023,no_exact_doi_match_in_primary_dataset,requires_manual_verification,yes,DOI confirmed via explicit doi.org link. Verify mining-area soil is naturally contaminated (not experimentally spiked) before final acceptance.
10.1007/s11356-020-08319-w,Phytoremediation potential of castor (Ricinus communis L.) in the soils of the abandoned copper mine in Northern Oman,2020,Unconfirmed,Environmental Science and Pollution Research,Castor bean,Cu (and others),web search: castor bean Ricinus communis heavy metal phytoremediation bioconcentration factor 2023 2024 2025 field,confirmed_overlap,Exact DOI match in primary dataset,n/a,pre-2023,CONFIRMED_EXACT_DOI_MATCH_IN_PRIMARY_DATASET,ineligible,no,Confirmed via direct string match. Documented for auditability only.
