doi,year,study_id,species,element,plant_component,BCF_value,BCF_definition,BCF_numerator,BCF_denominator,BCF_units,soil_pH,soil_organic_matter,soil_texture,soil_concentration,exposure_regime,contamination_history,duration_days,sample_size,data_source_type,data_source_location,source_reference,directly_reported_or_digitized,digitization_method,eligibility_status,exclusion_reason,verification_status,verified_by_user
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Pb,Futura 75 inflorescences,0.10835,plant concentration / site soil concentration,10.64 mg/kg dry-weight plant tissue,98.2 mg/kg soil,dimensionless,,,,HP: 98.2 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Pb,Futura 75 seeds,0.05499,plant concentration / site soil concentration,5.4 mg/kg dry-weight plant tissue,98.2 mg/kg soil,dimensionless,,,,HP: 98.2 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Pb,Tisza inflorescences,0.07491,plant concentration / site soil concentration,6.27 mg/kg dry-weight plant tissue,83.7 mg/kg soil,dimensionless,,,,MP: 83.7 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Pb,Futura 75 inflorescences,0.039068,plant concentration / site soil concentration,3.27 mg/kg dry-weight plant tissue,83.7 mg/kg soil,dimensionless,,,,MP: 83.7 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Pb,Tisza seeds,0.03859,plant concentration / site soil concentration,3.23 mg/kg dry-weight plant tissue,83.7 mg/kg soil,dimensionless,,,,MP: 83.7 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,Futura 75 inflorescences,0.214548,plant concentration / site soil concentration,151.9 mg/kg dry-weight plant tissue,708 mg/kg soil,dimensionless,,,,HP: 708 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,Futura 75 seeds,0.157203,plant concentration / site soil concentration,111.3 mg/kg dry-weight plant tissue,708 mg/kg soil,dimensionless,,,,HP: 708 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,site-average seeds,0.377974,plant concentration / site soil concentration,85.8 mg/kg dry-weight plant tissue,227 mg/kg soil,dimensionless,,,,MP: 227 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,site-average inflorescences,0.332599,plant concentration / site soil concentration,75.5 mg/kg dry-weight plant tissue,227 mg/kg soil,dimensionless,,,,MP: 227 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,Futura 75 seeds,0.635669,plant concentration / site soil concentration,99.8 mg/kg dry-weight plant tissue,157 mg/kg soil,dimensionless,,,,SP: 157 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,Futura 75 inflorescences,0.533758,plant concentration / site soil concentration,83.8 mg/kg dry-weight plant tissue,157 mg/kg soil,dimensionless,,,,SP: 157 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,Tisza seeds,0.529936,plant concentration / site soil concentration,83.2 mg/kg dry-weight plant tissue,157 mg/kg soil,dimensionless,,,,SP: 157 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
