Priority,Tier,StudyID,DOI,Species,Elements,Title,NaturalFieldEvidence,SoilSystemEvidence,TreatmentConcern,BCFCompatibility,HaIndependence,MainUncertainty,WhyThisTier,VerificationAction
A1,A,chemosphere_2024_hemp,10.1016/j.chemosphere.2024.142199,Hemp,"Cu, As, Cd, Pb","Industrial hemp (Cannabis sativa L.) can utilize and remediate soil strongly contaminated with Cu, As, Cd, and Pb by phytoattenuation","Abstract states plants grown in 'strongly contaminated natural soils' -- explicit natural-contamination language, not just 'contaminated soil'","Soil-based (natural soil), 9 hemp varieties compared",None apparent from abstract; no amendment/chelate/spike language present,Not yet confirmed -- abstract discusses uptake/distribution/transfer but exact BCF formula not stated in available excerpt,No DOI match found in primary dataset (checked directly),Exact BCF definition/units and which plant organ(s) are reported,Strongest natural-contamination language of any candidate; independent; high confidence bibliographically; only the BCF-definition detail is unconfirmed,Confirm BCF formula (numerator/denominator/units) and which of the 9 varieties/organs have directly reported concentrations.
A2,A,slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,Hemp,"Pb, Zn, Cd",Industrial hemp (Cannabis sativa L.) - a valuable alternative crop for growing in agricultural soils contaminated with heavy metals,"Confirmed field study at 3 real differently-polluted sites (Celje valley, Slovenia); abstract explicitly contrasts itself with prior greenhouse-only literature","Field soil, not pot; 2 hemp varieties, 5 plant organs/tissues measured",None apparent; no amendment/spike language,"Not yet confirmed -- abstract reports tissue concentrations and 'phytoremediation potential' (PP), not explicitly labeled BCF; PP may or may not equal the primary dataset's BCF definition","No DOI match found; publication date confirmed 2023-10-26, after the Ha et al. March 15 2023 cutoff","Whether the paper's 'phytoremediation potential' metric is the same ratio as BCF, or a different derived quantity","Genuine field study (rare in this literature), independent, temporally independent, only the metric-naming question remains","Verify whether 'phytoremediation potential' is defined as plant/soil concentration ratio (=BCF) or a different metric; if different, determine whether BCF can still be reconstructed from reported concentrations."
A3,A,castor_mining_2026,10.3390/agriculture16070748,Castor bean,"Cd, Pb, Cu, Zn",Research on the Potential of Castor Plants (Ricinus communis L.) to Remediate Soil Contaminated by Multiple Heavy Metals in Mining Areas,Mining-area soil per title/abstract; explicit BCF and TF calculation stated,"Soil-based, multiple castor varieties compared","None apparent from abstract, but mining-area soil experiments in this literature have precedent for hybrid designs (soil collected from a contaminated site then further spiked) -- seen exactly this pattern in the primary dataset's own excluded rows",Explicit BCF and TF stated as calculated,No DOI match found in primary dataset (checked directly),Whether the mining-area soil was used as-is (naturally contaminated) or further experimentally spiked before planting,Only castor bean candidate in the plausible pool and the only one with explicit BCF confirmed in the abstract; single open question is contamination-history purity,Verify contamination source and confirm no experimental spiking; check whether soil was used as collected from the mining area or amended/spiked further.
A4,A,moso_bamboo_tailings_2023,10.1007/s42729-023-01275-7,Bamboo,Not specified in excerpt (multi-metal per title),Tolerance and Enrichment Characteristics of Moso Bamboo to Complex Heavy Metal-Contaminated Soil,"Study explicitly selected for 'contaminated soil in tailings areas' -- naturally contaminated mining tailings, correct genus (Phyllostachys/Moso bamboo, matches the primary dataset's bamboo taxon without ambiguity)",Soil-based (tailings-area soil),None apparent from available excerpt,Not confirmed from excerpt which specific elements or exact BCF formula are reported; title mentions 'enrichment characteristics' which likely corresponds to BCF but not confirmed,"No DOI match found in primary dataset (checked directly, confirmed absent)","Exact element list, exact BCF/enrichment-factor formula, and exact publication month relative to the March 2023 cutoff","Strongest bamboo candidate: unambiguous natural mining-tailings contamination, correct genus, confirmed independent by direct DOI check","Confirm exact elements measured, verify 'enrichment characteristics' equals a BCF-compatible ratio, and check publication month against March 2023."
A5,A,kazakhstan_sunflower_2026,10.3390/agriculture16131469,Sunflower,"Cd, Co, Cr, Cu, Ni, Pb, Zn, As","Bioaccumulation and Translocation of Heavy Metals in the Chernozem-Sunflower System: A Study of Agricultural Lands in Kostanay, Kazakhstan","Real agricultural chernozem field soil near a mining facility (50 km distant); full soil pedon (0-150cm) sampled from 18 real soil samples, 6 field-grown plants dissected into 8 anatomical parts -- unambiguously a field study, no pot/spike language anywhere","Field soil, full pedon characterization","None; background/ambient field contamination, not an imposed treatment",Not explicitly confirmed as 'BCF' in the excerpt (uses 'bioaccumulation' and 'Clarke of Concentration' language); may require reconstruction from directly reported soil and plant concentrations rather than a pre-labeled BCF value,"No DOI match found in primary dataset (checked directly, confirmed absent)","Whether the paper reports a plant/soil concentration ratio directly, or only reports concentrations separately requiring you to compute BCF yourself from verified numbers","Best element diversity of any candidate in the entire pool, unambiguous field/natural design, confirmed independent -- the only gap is confirming the exact metric reported","Verify whether the paper reports plant/soil concentration ratios directly; if not, confirm both concentrations are directly reported (not just 'Clarke of Concentration') so BCF can be derived and documented as such."
B1,B,thurston_tarcreek_hemp_biochar_2024,unconfirmed_verify_soilsystems_thurston2024,Hemp,"Cd, Pb, Zn","Evaluation of Industrial Hemp Cultivar and Biochar Rate to Remediate Heavy-Metal-Contaminated Soil from the Tar Creek Superfund Site, USA",Abstract explicitly states 'naturally contaminated soils from the Tar Creek superfund site' -- strong natural-contamination evidence,"Soil-based, greenhouse-grown using real Superfund-site soil (not synthetic substrate)",Biochar amendment at 3 nonzero rates (2/5/10%) IS present as a treatment factor; only the 0% biochar arm is unamended and TARGET-comparable,Explicit BCF figures reported by soil-cultivar combination per available figure captions,"No DOI match found (exact DOI not yet confirmed, pattern-based only)",Must isolate the 0% biochar-rate subset specifically; cannot use the full dataset as-is without excluding the amended arms,"Excellent contamination evidence and explicit BCF reporting, but the subset-isolation requirement (Tier B criterion: 'possible subset/experimental-unit issue') keeps it out of Tier A until confirmed","Locate the exact article page and DOI; confirm the 0% biochar-rate BCF values specifically, and do not extract the 2/5/10% biochar rows as TARGET-comparable."
B2,B,phyllostachys_praecox_monoculture_2018,unconfirmed_verify_pubmed_28949764,Bamboo,"Cu, Zn, Cd",Comparison of heavy metal phytoremediation in monoculture and intercropping systems of Phyllostachys praecox and Sedum plumbizincicola in polluted soil,4-year field plantation in 'polluted soil'; has a bamboo-only monoculture arm (MP) distinct from the intercropped arm (IPS),"Field soil, correct Phyllostachys genus","Intercropping (with Sedum) is present in 2 of 3 arms; only the MP monoculture arm is directly comparable, similar in spirit to isolating an unamended arm",Explicit BCF and TF trend reported per abstract,Same research lineage (intercropping-with-Sedum program) as 2 CONFIRMED overlapping bamboo studies already in the primary dataset; independence is not established and overlap risk is elevated beyond a simple DOI check,"Whether this specific study (as opposed to its 2 sibling studies already confirmed in the primary dataset) is truly a separate, non-overlapping dataset -- same authors/program, different DOI, but independence unverified",Good design fit (has a usable monoculture arm) but independence from already-included primary-dataset studies is the single most important open question and must be resolved before this counts toward the buffer,"Check whether this is the same experimental population (same field site, same planting year, same author group) as the 2 confirmed-overlap bamboo studies; if it shares field plots or planting cohorts, treat as non-independent."
B3,B,phyllostachys_praecox_cultivation_time_2020,unconfirmed_verify_sciencedirect_praecox_cultivation,Bamboo,"Cu, Zn, Pb, Ni, Cr, Cd, As, Hg",Effect of cultivation time on soil heavy metal accumulation and bioavailability in Phyllostachys praecox stands,"Field-cultivated soil chronosequence (0-10 years of cultivation, not deliberately spiked); correct Phyllostachys genus",Field soil across a management chronosequence,"None obvious, though 'cultivation practices' (fertilization inputs implied by abstract) may function as a background input distinct from a deliberate spike","Abstract emphasizes soil-side accumulation and bioavailability, not clearly plant-tissue concentrations; BCF may not be directly reported and may be unobtainable from this paper at all",No DOI match found (DOI not yet confirmed),"Whether plant-tissue concentrations (needed for any BCF, directly reported or reconstructed) are reported at all, since the abstract excerpt only discusses soil-side measurements","Best element diversity of the bamboo candidates, but the core requirement (a plant-side concentration to pair with the soil concentration) is unconfirmed, which is a more fundamental gap than the other Tier B entries","Check whether the paper reports ANY plant-tissue (bamboo shoot/culm/leaf) heavy-metal concentration; if only soil-side data is reported, this study cannot yield a BCF and should be reclassified to Tier C."
B4,B,hemp_fiber_phytoattenuation_textile,unconfirmed_verify_sciencedirect_fiber,Hemp,"Cd, Pb, Zn","Industrial hemp (Cannabis sativa L.) in a phytoattenuation strategy: Remediation potential of a Cd, Pb and Zn contaminated soil and valorization potential of the fibers for textile production","Not established -- 'contaminated soil' language alone, no explicit 'natural' or 'spiked' qualifier in the available excerpt","Soil-based per title (fiber valorization implies field or large-scale cultivation, but not confirmed)","None confirmed, none ruled out",Explicit statement that hemp is 'not a hyperaccumulator per BCF definition' -- strong positive signal that BCF is directly reported and defined in this paper,No DOI match found (DOI not yet located),Contamination history (natural vs. spiked) is completely unconfirmed from available discovery data -- this is the single largest gap of any Tier A/B candidate,"The clearest positive signal (BCF explicitly discussed) is offset by the clearest negative gap (contamination history genuinely unknown), which is exactly the Tier B definition","First locate the exact DOI and article; before anything else, confirm whether the contaminated soil was naturally contaminated field/site soil or experimentally spiked in a pot."
B5,B,thurston_tarcreek_hemp_selenium,unconfirmed_verify_researchgate_thurston_selenium,Hemp,Se,Selenium Metabolism in Hemp (Cannabis sativa L.) - Potential for Phytoremediation and Biofortification,Same Tar Creek Superfund site as candidate B1 (naturally contaminated soil per that program's other publications),"Presumed soil-based, same program as B1",Presumed same biochar-rate design as B1 given shared PI/site/cultivar/contamination-level description -- same subset-isolation concern likely applies,Not confirmed from available excerpt whether BCF (as opposed to only uptake/concentration) is reported for Se specifically,No DOI match found; independence from candidate B1 (not from the primary dataset) is the actual concern here,"Whether this is a genuinely separate dataset/publication from B1, or an analysis of the same experimental campaign (same soil batches, same plants) reported in a second paper","Valuable only if selenium coverage is genuinely new data; if it shares experimental units with B1 it should not be counted as a second independent study, so this must be resolved before any extraction effort is spent on it","Check whether this is the same experimental population as candidate B1 (Thurston Tar Creek hemp/biochar study); if the soil batches/plants are shared, do not treat as an independent second study."
