study_id,DOI,title,species,tier,final_status,contamination_type,field_or_greenhouse,treatment_status,BCF_available,BCF_definition_status,independent_from_Ha,shared_experiment_status,primary_source_verified,reason_for_inclusion_or_exclusion,exact_primary_source,notes
chemosphere_2024_hemp,10.1016/j.chemosphere.2024.142199,Industrial hemp... phytoattenuation,Cannabis sativa,A,UNRESOLVED,strongly contaminated natural soil; field,field; methods incomplete,unverified,unavailable,likely yes,not assessable,yes,partial,No full source access; BCF and treatment history unresolved.,see verification_A1_chemosphere_2024_hemp.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_A1_chemosphere_2024_hemp.md
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,Industrial hemp... agricultural soils contaminated with heavy metals,Cannabis sativa,A,INCLUDED,natural agricultural soil near zinc-ore smelting,field,derived compatible,compatible; verifier-derived,yes,distinct field study,yes,yes,18 compatible derived observations.,see verification_A2_slovenia_hemp_field_2023.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_A2_slovenia_hemp_field_2023.md
castor_mining_2026,10.3390/agriculture16070748,Research on Potential of Castor Plants...,Ricinus communis,A,EXCLUDED,natural mining-area soil,field,available but no exact pairs,compatible,yes,independent,yes,yes,No exact BCF observations; only isolated concentrations/CBCI.,see verification_A3_castor_mining_2026.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_A3_castor_mining_2026.md
moso_bamboo_tailings_2023,10.1007/s42729-023-01275-7,Tolerance and Enrichment Characteristics...,Phyllostachys pubescens,A,EXCLUDED,tailings-area soil; review,unresolved,no; transfer coefficients only,incompatible/not verified,unresolved,review; cites overlapping study,yes,yes,Not a primary experiment; no BCF.,see verification_A4_moso_bamboo_tailings_2023.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_A4_moso_bamboo_tailings_2023.md
kazakhstan_sunflower_2026,10.3390/agriculture16131469,Bioaccumulation and Translocation... Kostanay,Helianthus annuus,A,INCLUDED,natural/geogenic field-derived Chernozem,field,available; directly reported,compatible,yes,independent,yes,yes,14 direct BCF observations; natural/background caveat.,see verification_A5_kazakhstan_sunflower_2026.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_A5_kazakhstan_sunflower_2026.md
thurston_tarcreek_hemp_biochar_2024,10.3390/soilsystems8040114,Evaluation of Industrial Hemp... Tar Creek,Cannabis sativa,B,INCLUDED,natural Tar Creek Superfund soil,greenhouse; 0% biochar subset,available; directly reported,compatible,likely yes,"shared with 2023 thesis, not Ha",yes,yes,6 direct Cd observations; amended arms excluded.,see verification_B1_thurston_tarcreek_hemp_biochar_2024.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_B1_thurston_tarcreek_hemp_biochar_2024.md
phyllostachys_praecox_monoculture_2018,10.1080/15226514.2017.1374339,Comparison... Phyllostachys praecox and Sedum,Phyllostachys praecox,B,UNRESOLVED,polluted soil origin unresolved,unresolved,not numerically accessible,unresolved,unresolved,possible lineage with confirmed overlap,yes,partial,Full methods/BCF inaccessible; possible shared study.,see verification_B2_phyllostachys_praecox_monoculture_2018.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_B2_phyllostachys_praecox_monoculture_2018.md
phyllostachys_praecox_cultivation_time_2020,10.1016/S1002-0160(20)60033-9,Effect of cultivation time...,Phyllostachys praecox,B,UNRESOLVED,field chronosequence; origin partly resolved,field,unavailable,unavailable,likely yes,not fully assessable,yes,partial,No plant BCF data accessible.,see verification_B3_phyllostachys_praecox_cultivation_time_2020.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_B3_phyllostachys_praecox_cultivation_time_2020.md
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,Industrial hemp... phytoattenuation... fibers,Cannabis sativa,B,INCLUDED,legacy contaminated field-derived soil,greenhouse,available; directly reported definition,compatible,yes,distinct experiment,yes,yes,18 digitized primary Figure 2 observations.,see verification_B4_hemp_fiber_phytoattenuation_textile.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_B4_hemp_fiber_phytoattenuation_textile.md
thurston_tarcreek_hemp_selenium,10.1021/acs.est.9b07747,Selenium Metabolism in Hemp...,Cannabis sativa,B,EXCLUDED,natural field survey plus artificial greenhouse arm,field and greenhouse,no paired BCF,not verified,yes,not shared with Thurston,yes,yes,Field Se lacks paired soil denominator; greenhouse arm ineligible.,see verification_B5_thurston_tarcreek_hemp_selenium.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_B5_thurston_tarcreek_hemp_selenium.md
kenya_tannery_bamboo_cr,10.5696/2156-9614-7.16.12,Phytoremediation Using Bamboo... Kenya,Bambusa/Dendrocalamus,B,DUPLICATE_SHARED_STUDY,natural tannery soil,field,available; direct,compatible,no; exact DOI overlap,duplicate in Ha dataset,yes,yes,Exact DOI and matching rows in Ha data.,see verification_B6_kenya_tannery_bamboo_cr.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_B6_kenya_tannery_bamboo_cr.md
kastamonu_sunflower_mining_dilution,10.17475/kastorman.1269527,Phytoextraction... from Mining Area,Helianthus annuus,C,EXCLUDED,natural mining soil deliberately diluted,greenhouse,available; BAF compatible,compatible,yes,independent,yes,yes,Controlled clean-soil dilution series is prohibited.,see verification_C1_kastamonu_sunflower_mining_dilution.md,Primary-source evidence log at /home/ubuntu/work/external_curation/verification_C1_kastamonu_sunflower_mining_dilution.md
