study_id,DOI,source_document,source_location,extraction_status,verification_status
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
slovenia_hemp_field_2023,10.1007/s11356-023-30474-z,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",PDF results and Table 1; exact pages in verification log,directly_reported,verified_primary_source_derived
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
kazakhstan_sunflower_2026,10.3390/agriculture16131469,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,directly_reported,verified
thurston_tarcreek_hemp_biochar_2024,10.3390/soilsystems8040114,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",Table 5 p.12; denominator Table 1 p.5,directly_reported,verified
thurston_tarcreek_hemp_biochar_2024,10.3390/soilsystems8040114,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",Table 5 p.12; denominator Table 1 p.5,directly_reported,verified
thurston_tarcreek_hemp_biochar_2024,10.3390/soilsystems8040114,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",Table 5 p.12; denominator Table 1 p.5,directly_reported,verified
thurston_tarcreek_hemp_biochar_2024,10.3390/soilsystems8040114,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",Table 5 p.12; denominator Table 1 p.5,directly_reported,verified
thurston_tarcreek_hemp_biochar_2024,10.3390/soilsystems8040114,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",Table 5 p.12; denominator Table 1 p.5,directly_reported,verified
thurston_tarcreek_hemp_biochar_2024,10.3390/soilsystems8040114,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",Table 5 p.12; denominator Table 1 p.5,directly_reported,verified
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
hemp_fiber_phytoattenuation_textile,10.1016/j.indcrop.2022.114592,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",Figure 2 p.6; bar-height digitization,digitized,verified_primary_figure_digitized
